"","Tweet","Time Stamp","Twitter Handle","Latitude","Longitude","Topic"
"1","@HillaryClinton M Albright used intimidation 2 shame control women. Shame on u! Ur campaign is sexist! #feelthebern it's not about sex","Sun Feb 07 19:45:47 +0000 2016","HillaryGuess",27.698682,"-83.804475","feminism"
"2","@TheDemocrats @goprapebuster President Obama and Hillary Clinton know what they are doing. How you allowed Sanders on our ticket boggles","Sun Feb 07 21:18:01 +0000 2016","Plantflowes",40.3651595,"-82.6694675","violence_against_women"
"3","@chinese0phoenix @DCist 🐹 @HillaryClinton this is what a #FeministWerewolf looks like. https://t.co/s7ANJJaBuH","Sun Feb 07 21:57:07 +0000 2016","MFergod",33.5528625,"-112.1246765","feminism"
"4","(@MAPS @JebBush @traumahack @deray @BeatsbyDreJP @SenSanders @HillaryClinton @CopsSayLegalize #MediaWeLike #NotBuyingIt #EditsWeLike #KnotBi","Mon Feb 08 00:59:40 +0000 2016","frets",39.284713,"-76.620482","feminism"
"5","A famous 'feminist' supporter of Hillary explains why young women support Bernie. WOW! https://t.co/ARskwSJB6O","Mon Feb 08 01:02:44 +0000 2016","NegarMortazavi",40.780709,"-73.9685415","feminism"
"6","@WichitaBern This whole sexists thing is really getting old. There are some really vicious @HillaryClinton @billclinton that demean poor ppl","Mon Feb 08 03:01:35 +0000 2016","thomaswikjr",44.900818,"-89.5694915","feminism"
"7","@NewsHillbilly 131 new abortion laws in states want to stop the gop then vote  #demdebate #ImWithHer #BernieSanders","Mon Feb 08 03:31:43 +0000 2016","NewsHillbilly",37.822244,"-85.7682405","reproductive_rights"
"8","Should Bill 'Multiple Allegations of Sexual Assault and Harassment' Clinton really be insinuating Bernie is sexist? https://t.co/z3ivhzg3sC","Mon Feb 08 03:38:16 +0000 2016","mitchsunderland",34.0207895,"-118.4119065","feminism"
"9","THE BERNIE VS HILLARY MEMES ARE NOT SEXIST  YOU DONT HAVE TO LIKE HILLARY JUST BECAUSE SHES A WOMAN","Mon Feb 08 03:38:23 +0000 2016","wrenmcdaniel",33.9563835,"-83.3997795","feminism"
"10","@AliSue1958 Hillary updated the State Department’s policy so that transgender individuals’ passports reflect their true gender. @Lee_in_Iowa","Mon Feb 08 06:20:51 +0000 2016","MrDane1982",40.655138,"-73.9487755","intersectionality"
"11","@clubfloozy @burdentruth can only REALLY be feminist or gay if you support Hillary only she's the only one that gets those problems. Right?","Mon Feb 08 06:29:51 +0000 2016","moltissimocang",40.431389,"-79.9806895","feminism"
"12","Sady Doyle crushing it on feminism  Hillary Clinton  progressive politics: https://t.co/foyhB34MYv","Mon Feb 08 07:18:32 +0000 2016","holhaines",37.7706565,"-122.4359785","feminism"
