"","date","reproductive_rights","violence_against_women","professional_gap","feminism","men","intersectionality"
"1",2.7,46,15,2,150,9,35
"2",2.8,113,121,14,1371,1139,82
"3",2.9,145,138,11,894,87,68
"4",2.1,129,90,9,812,37,99
"5",2.11,86,69,19,365,32,183
"6",2.12,181,108,32,422,56,235
"7",2.13,86,75,9,418,23,70
"8",2.14,71,55,5,312,16,66
"9",2.15,192,34,15,160,9,83
"10",2.18,150,28,18,202,11,282
"11",2.19,165,90,26,258,25,157
"12",2.2,128,40,29,237,32,146
"13",2.21,62,59,22,357,25,164
"14",2.22,99,58,13,210,15,179
"15",2.23,80,68,11,158,17,218
"16",2.24,77,78,27,249,18,506
"17",2.25,76,80,19,269,15,277
"18",2.26,72,51,34,262,20,159
"19",2.27,91,55,22,212,35,113
"20",2.28,71,97,27,188,54,214
"21",2.29,47,117,5,132,18,100
"22",3.1,54,80,47,200,58,176
"23",3.2,79,231,32,214,96,276
"24",3.3,56,148,13,370,33,216
"25",3.4,54,72,12,162,19,105
"26",3.5,50,61,10,177,13,92
"27",3.6,38,76,105,167,16,218
"28",3.7,109,115,26,1216,105,971
"29",3.8,365,108,22,792,39,266
"30",3.9,182,152,30,184,20,187
"31",3.1,133,65,16,243,43,178
"32",3.11,65,92,24,345,19,125
"33",3.12,53,90,16,233,32,355
"34",3.13,67,102,7,311,26,175
"35",3.14,89,72,24,200,50,258
"36",3.15,66,96,22,222,24,130
"37",3.16,94,68,21,565,57,99
"38",3.17,114,70,22,215,227,72
"39",3.18,66,119,11,254,50,131
"40",3.19,58,56,12,124,22,78
"41",3.2,88,78,16,148,38,56
"42",3.21,46,104,14,161,32,83
"43",3.22,59,75,7,200,214,110
"44",3.23,60,58,16,133,26,107
"45",3.24,64,56,5,85,18,133
"46",3.25,48,161,8,151,1347,91
"47",3.26,45,88,9,121,537,87
"48",3.27,33,58,8,111,194,154
"49",3.28,71,65,9,221,117,298
"50",3.29,362,132,9,525,121,228
"51",3.3,726,73,19,251,197,301
"52",3.31,1225,60,14,241,93,125
"53",4.1,712,62,25,206,56,162
"54",4.2,236,78,18,344,41,104
"55",4.3,510,127,16,112,48,74
"56",4.4,252,51,13,44,8,26
"57",4.5,225,47,39,439,22,57
"58",4.6,86,93,13,258,12,85
"59",4.7,80,79,13,249,24,86
"60",4.8,140,81,20,550,37,163
"61",4.9,100,141,29,298,21,103
"62",4.1,77,51,19,234,20,91
"63",4.11,108,89,19,235,25,262
"64",4.12,92,63,877,248,19,1010
"65",4.13,58,57,431,98,30,538
"66",4.14,74,103,75,474,128,214
"67",4.15,1008,127,48,434,47,559
"68",4.16,239,107,25,263,47,200
"69",4.17,76,134,20,223,52,128
"70",4.18,108,119,32,336,67,133
"71",4.19,186,100,59,388,40,86
"72",4.2,77,74,81,220,56,165
"73",4.21,84,86,36,132,35,95
"74",4.22,95,55,28,177,35,68
"75",4.23,77,59,15,143,25,45
"76",4.24,80,215,15,216,38,95
"77",4.25,84,138,15,183,24,115
"78",4.26,123,90,57,659,73,338
"79",4.27,150,174,36,2205,99,118
"80",4.28,199,141,14,1250,49,68
"81",4.29,163,151,26,1371,89,74
"82",4.3,67,141,19,645,69,71
