"","Tweet","Time Stamp","Twitter Handle","Latitude","Longitude","Topic"
"1","@AliSue1958 Hillary updated the State Department’s policy so that transgender individuals’ passports reflect their true gender. @Lee_in_Iowa","Mon Feb 08 06:20:51 +0000 2016","MrDane1982",40.655138,"-73.9487755","intersectionality"
"2","Yep older feminists should not be underestimated. If anything  we're more pissed off. https://t.co/Dh9Evmss7y","Mon Feb 08 15:54:46 +0000 2016","kateloving",41.1179365,"-77.604684","feminism"
"3","@JuveUnited disappointing &amp; disrespectful that Bill is reducing Bernie's campaign to sexism and dishonesty when it's 100% never been either","Mon Feb 08 16:52:31 +0000 2016","wpazzurri",41.8335845,"-87.732013","feminism"
"4","@marcorubio tells rape victims to suck it up and have the baby  @SenSanders voted to protect rapist right to not disclose their HIV status","Mon Feb 08 18:12:49 +0000 2016","MrDane1982",40.655138,"-73.9487755","violence_against_women"
"5","Microcephalic babyfrom #Zika born #abortion restricted states should be named #MarcoRubio #Marco # giftfromgod # Rubi for girls @marcorubio","Mon Feb 08 22:10:33 +0000 2016","meggybear1",44.00123,"-71.566171","reproductive_rights"
"6","@amantedelibros @goprapebuster @Donna_West @sherrilee7 @HillaryClinton The guys been in office since 1972. He's learned a trick or 2.","Tue Feb 09 05:33:44 +0000 2016","the_devik",45.3611835,"-122.837661","violence_against_women"
"7","@DemGalInBlueSea #DoubleStandards He's crass! It's a man's world but that's going to change in Nov. 016 when @Hillary is elected POTUS45!","Tue Feb 09 17:54:20 +0000 2016","ShirlsAdams",38.0033755,"-79.420865","feminism"
"8","@WomanVote @goldietaylor @SenSanders  he didn't cal on @potus to slow down deportations.He voted to support armed militia on southern border","Wed Feb 10 01:52:57 +0000 2016","Donna_West",36.184754,"-115.0611275","professional_gap"
"9","@BernieSanders @SenSanders The vetting process hasn't begun for you - you're being treated with kid gloves   Ur rape and racist comments ?","Wed Feb 10 12:08:45 +0000 2016","DannyBo4455",40.4772735,"-79.833837","violence_against_women"
"10","Not sure if I should be happy so many in NH #FeelTheBern or disappointed so many NH Repubs voted for racist sexist spectacle. #Election2016","Wed Feb 10 12:21:10 +0000 2016","librarydervish",41.1602505,"-81.3504345","feminism"
"11","@Mediaite @ecwpunk81 'Trump Retweeted White Supremacist Account (Again)' #DonaldTrump doesn't use #dogwhistles. He's proud of his #racism!","Thu Feb 11 02:42:08 +0000 2016","jboogiebrown2",42.9564115,"-85.6411415","intersectionality"
"12","@Resonate537 rhinos?! Really? He supports partial birth abortion  single payer health care  and supported Hillary  Pelosi  and Reid Really!?","Thu Feb 11 04:55:33 +0000 2016","kylemeyer44",35.222301,"-97.4451735","reproductive_rights"
"13",".@HillaryClinton August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:28:54 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"14",".@taddevine August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:30:16 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"15",".@es_snipes August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:37:04 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
"16",".@JustinBamberg August 12  1963: The Day Bernie Sanders was Arrested in Demonstration against Racism. https://t.co/KLoStjVlId #Bernie","Thu Feb 11 20:38:16 +0000 2016","AndrewCicchetti",-15.4551765,"-55.842543","intersectionality"
