"","date","reproductive_rights","violence_against_women","professional_gap","feminism","men","intersectionality"
"1",2.7,16,7,0,12,1,29
"2",2.8,46,26,2,130,8,60
"3",2.9,35,37,11,128,4,23
"4",2.1,45,35,7,59,8,27
"5",2.11,93,29,8,30,0,55
"6",2.12,63,24,10,23,5,51
"7",2.13,101,20,4,27,8,39
"8",2.14,220,44,4,28,9,42
"9",2.15,102,48,8,13,18,16
"10",2.18,118,18,1,15,5,40
"11",2.19,134,30,10,30,41,50
"12",2.2,100,16,11,34,15,155
"13",2.21,42,96,11,22,16,77
"14",2.22,49,52,15,13,6,38
"15",2.23,66,46,10,21,5,77
"16",2.24,62,35,7,55,18,74
"17",2.25,199,55,5,29,15,69
"18",2.26,200,51,12,16,3,58
"19",2.27,89,36,7,15,5,32
"20",2.28,106,83,9,19,13,394
"21",2.29,62,50,9,6,10,133
"22",3.1,118,36,6,45,10,71
"23",3.2,108,52,9,91,13,63
"24",3.3,79,22,2,32,10,84
"25",3.4,89,36,10,14,3,104
"26",3.5,61,41,14,15,3,53
"27",3.6,158,191,30,25,7,78
"28",3.7,60,82,9,213,10,161
"29",3.8,168,193,7,68,2,68
"30",3.9,120,24,48,43,10,46
"31",3.1,88,55,10,32,3,49
"32",3.11,272,39,12,21,9,52
"33",3.12,48,131,17,60,9,137
"34",3.13,79,127,7,54,8,80
"35",3.14,50,36,2,34,12,51
"36",3.15,67,30,4,39,8,67
"37",3.16,56,23,5,50,15,32
"38",3.17,78,38,4,27,6,34
"39",3.18,47,22,5,18,5,44
"40",3.19,38,58,4,36,39,92
"41",3.2,66,34,5,41,85,31
"42",3.21,57,15,3,26,23,24
"43",3.22,67,30,2,23,10,167
"44",3.23,57,32,8,84,11,116
"45",3.24,101,25,4,117,113,91
"46",3.25,150,124,8,97,53,83
"47",3.26,72,71,7,298,61,39
"48",3.27,65,37,2,40,8,64
"49",3.28,94,59,8,26,7,50
"50",3.29,171,107,13,92,49,71
"51",3.3,608,87,10,58,23,49
"52",3.31,736,48,8,35,14,14
"53",4.1,413,29,6,27,15,30
"54",4.2,256,32,5,44,12,19
"55",4.3,220,77,33,42,17,18
"56",4.4,140,40,4,18,8,9
"57",4.5,378,123,9,19,16,23
"58",4.6,111,77,3,18,3,23
"59",4.7,64,56,8,17,9,39
"60",4.8,107,82,9,38,5,33
"61",4.9,58,33,11,20,5,54
"62",4.1,64,44,10,14,6,32
"63",4.11,73,50,6,11,1,27
"64",4.12,53,35,51,21,3,40
"65",4.13,54,23,29,10,4,43
"66",4.14,76,73,16,56,22,68
"67",4.15,156,62,6,26,2,55
"68",4.16,83,51,7,17,5,17
"69",4.17,67,65,10,18,4,24
"70",4.18,86,28,9,16,13,40
"71",4.19,91,28,14,24,10,74
"72",4.2,82,42,13,26,13,34
"73",4.21,94,28,9,30,6,347
"74",4.22,168,45,5,22,7,462
"75",4.23,89,25,2,13,3,158
"76",4.24,75,19,5,42,6,193
"77",4.25,86,15,7,21,1,243
"78",4.26,101,33,13,27,16,153
"79",4.27,166,59,15,325,34,103
"80",4.28,180,46,12,129,14,51
"81",4.29,115,120,24,68,17,118
"82",4.3,89,125,4,50,14,54
