"","Tweet","Time Stamp","Twitter Handle","Latitude","Longitude","Topic"
"1","@HillaryClinton M Albright used intimidation 2 shame control women. Shame on u! Ur campaign is sexist! #feelthebern it's not about sex","Sun Feb 07 19:45:47 +0000 2016","HillaryGuess",27.698682,"-83.804475","feminism"
"2","#BernieSanders The best new campaign advocates for Bernie THE HILARY FEMINIST.  Vote for the best candidate NOT race  creed  color  sex","Sun Feb 07 19:53:45 +0000 2016","Jscott1145",32.6782075,"-83.1738665","feminism"
"3","@TheDemocrats @goprapebuster President Obama and Hillary Clinton know what they are doing. How you allowed Sanders on our ticket boggles","Sun Feb 07 21:18:01 +0000 2016","Plantflowes",40.3651595,"-82.6694675","violence_against_women"
"4","Sick of having #BernieSanders dick shoved down my throat by his supporters. Dems are most sexist lot of men. Ask any Kennedy woman.","Sun Feb 07 21:28:16 +0000 2016","rubypurlstudio",27.3411215,"-82.5330735","feminism"
"5","Bernie Sanders exposed! A shocking look at his views on rape and violence against women. https://t.co/SyMHniUAMm https://t.co/q7DuJXck8a","Sun Feb 07 22:47:29 +0000 2016","DrTomMartinPhD",44.065621,"-123.1224015","violence_against_women"
"6","Bernie for the People! #NotThereForBoys #feministsforbernie https://t.co/TXWuCTTeLE","Mon Feb 08 00:06:42 +0000 2016","amyluettgen",43.0675375,"-88.0255425","feminism"
"7","(@MAPS @JebBush @traumahack @deray @BeatsbyDreJP @SenSanders @HillaryClinton @CopsSayLegalize #MediaWeLike #NotBuyingIt #EditsWeLike #KnotBi","Mon Feb 08 00:59:40 +0000 2016","frets",39.284713,"-76.620482","feminism"
"8","A famous 'feminist' supporter of Hillary explains why young women support Bernie. WOW! https://t.co/ARskwSJB6O","Mon Feb 08 01:02:44 +0000 2016","NegarMortazavi",40.780709,"-73.9685415","feminism"
"9","@NewsHillbilly 131 new abortion laws in states want to stop the gop then vote  #demdebate #ImWithHer #BernieSanders","Mon Feb 08 03:31:43 +0000 2016","NewsHillbilly",37.822244,"-85.7682405","reproductive_rights"
"10","Should Bill 'Multiple Allegations of Sexual Assault and Harassment' Clinton really be insinuating Bernie is sexist? https://t.co/z3ivhzg3sC","Mon Feb 08 03:38:16 +0000 2016","mitchsunderland",34.0207895,"-118.4119065","feminism"
"11","THE BERNIE VS HILLARY MEMES ARE NOT SEXIST  YOU DONT HAVE TO LIKE HILLARY JUST BECAUSE SHES A WOMAN","Mon Feb 08 03:38:23 +0000 2016","wrenmcdaniel",33.9563835,"-83.3997795","feminism"
"12","@GideonResnick he was insinuating Bernie is sexist. It's just dumb for him to call anyone sexist","Mon Feb 08 03:45:36 +0000 2016","mitchsunderland",34.0207895,"-118.4119065","feminism"
"13","so these lesbian whores don't want women to vote for bernie because it's not feminine.  did i get that right.","Mon Feb 08 06:31:27 +0000 2016","FrankyLamouche",34.0207895,"-118.4119065","intersectionality"
"14","so these lesbian whores don't want women to vote for bernie because he's not a lesbian whore. did i get that right.","Mon Feb 08 06:32:18 +0000 2016","FrankyLamouche",34.0207895,"-118.4119065","intersectionality"
