"","group","date","count"
"1","feminism","2016-02-07",7
"2","intersectionality","2016-02-07",4
"3","men","2016-02-07",0
"4","professional_gap","2016-02-07",0
"5","reproductive_rights","2016-02-07",3
"6","violence_against_women","2016-02-07",8
"7","feminism","2016-02-08",63
"8","intersectionality","2016-02-08",35
"9","men","2016-02-08",8
"10","professional_gap","2016-02-08",2
"11","reproductive_rights","2016-02-08",27
"12","violence_against_women","2016-02-08",46
"13","feminism","2016-02-09",130
"14","intersectionality","2016-02-09",194
"15","men","2016-02-09",12
"16","professional_gap","2016-02-09",5
"17","reproductive_rights","2016-02-09",32
"18","violence_against_women","2016-02-09",36
"19","feminism","2016-02-10",192
"20","intersectionality","2016-02-10",144
"21","men","2016-02-10",72
"22","professional_gap","2016-02-10",9
"23","reproductive_rights","2016-02-10",48
"24","violence_against_women","2016-02-10",60
"25","feminism","2016-02-11",92
"26","intersectionality","2016-02-11",52
"27","men","2016-02-11",13
"28","professional_gap","2016-02-11",8
"29","reproductive_rights","2016-02-11",89
"30","violence_against_women","2016-02-11",51
"31","feminism","2016-02-12",42
"32","intersectionality","2016-02-12",90
"33","men","2016-02-12",7
"34","professional_gap","2016-02-12",6
"35","reproductive_rights","2016-02-12",75
"36","violence_against_women","2016-02-12",37
"37","feminism","2016-02-13",27
"38","intersectionality","2016-02-13",92
"39","men","2016-02-13",9
"40","professional_gap","2016-02-13",4
"41","reproductive_rights","2016-02-13",107
"42","violence_against_women","2016-02-13",21
"43","feminism","2016-02-14",74
"44","intersectionality","2016-02-14",143
"45","men","2016-02-14",13
"46","professional_gap","2016-02-14",2
"47","reproductive_rights","2016-02-14",326
"48","violence_against_women","2016-02-14",20
"49","feminism","2016-02-15",24
"50","intersectionality","2016-02-15",67
"51","men","2016-02-15",6
"52","professional_gap","2016-02-15",5
"53","reproductive_rights","2016-02-15",116
"54","violence_against_women","2016-02-15",16
"55","feminism","2016-02-18",28
"56","intersectionality","2016-02-18",160
"57","men","2016-02-18",29
"58","professional_gap","2016-02-18",3
"59","reproductive_rights","2016-02-18",167
"60","violence_against_women","2016-02-18",46
"61","feminism","2016-02-19",22
"62","intersectionality","2016-02-19",72
"63","men","2016-02-19",23
"64","professional_gap","2016-02-19",4
"65","reproductive_rights","2016-02-19",111
"66","violence_against_women","2016-02-19",39
"67","feminism","2016-02-20",47
"68","intersectionality","2016-02-20",68
"69","men","2016-02-20",22
"70","professional_gap","2016-02-20",5
"71","reproductive_rights","2016-02-20",69
"72","violence_against_women","2016-02-20",32
"73","feminism","2016-02-21",61
"74","intersectionality","2016-02-21",476
"75","men","2016-02-21",31
"76","professional_gap","2016-02-21",12
"77","reproductive_rights","2016-02-21",102
"78","violence_against_women","2016-02-21",149
"79","feminism","2016-02-22",39
"80","intersectionality","2016-02-22",503
"81","men","2016-02-22",23
"82","professional_gap","2016-02-22",2
"83","reproductive_rights","2016-02-22",100
"84","violence_against_women","2016-02-22",89
"85","feminism","2016-02-23",41
"86","intersectionality","2016-02-23",168
"87","men","2016-02-23",13
"88","professional_gap","2016-02-23",8
"89","reproductive_rights","2016-02-23",161
"90","violence_against_women","2016-02-23",64
"91","feminism","2016-02-24",67
"92","intersectionality","2016-02-24",254
"93","men","2016-02-24",49
"94","professional_gap","2016-02-24",18
"95","reproductive_rights","2016-02-24",71
"96","violence_against_women","2016-02-24",67
"97","feminism","2016-02-25",104
"98","intersectionality","2016-02-25",210
"99","men","2016-02-25",36
"100","professional_gap","2016-02-25",17
"101","reproductive_rights","2016-02-25",102
"102","violence_against_women","2016-02-25",81
"103","feminism","2016-02-26",88
"104","intersectionality","2016-02-26",156
"105","men","2016-02-26",32
"106","professional_gap","2016-02-26",25
"107","reproductive_rights","2016-02-26",298
"108","violence_against_women","2016-02-26",84
"109","feminism","2016-02-27",75
"110","intersectionality","2016-02-27",125
"111","men","2016-02-27",56
"112","professional_gap","2016-02-27",15
"113","reproductive_rights","2016-02-27",128
"114","violence_against_women","2016-02-27",53
"115","feminism","2016-02-28",70
"116","intersectionality","2016-02-28",744
"117","men","2016-02-28",62
"118","professional_gap","2016-02-28",41
"119","reproductive_rights","2016-02-28",101
"120","violence_against_women","2016-02-28",50
"121","feminism","2016-02-29",65
"122","intersectionality","2016-02-29",903
"123","men","2016-02-29",41
"124","professional_gap","2016-02-29",27
"125","reproductive_rights","2016-02-29",239
"126","violence_against_women","2016-02-29",93
"127","feminism","2016-03-01",82
"128","intersectionality","2016-03-01",839
"129","men","2016-03-01",90
"130","professional_gap","2016-03-01",29
"131","reproductive_rights","2016-03-01",154
"132","violence_against_women","2016-03-01",79
"133","feminism","2016-03-02",133
"134","intersectionality","2016-03-02",1078
"135","men","2016-03-02",51
"136","professional_gap","2016-03-02",48
"137","reproductive_rights","2016-03-02",111
"138","violence_against_women","2016-03-02",124
"139","feminism","2016-03-03",167
"140","intersectionality","2016-03-03",1224
"141","men","2016-03-03",114
"142","professional_gap","2016-03-03",17
"143","reproductive_rights","2016-03-03",92
"144","violence_against_women","2016-03-03",115
"145","feminism","2016-03-04",52
"146","intersectionality","2016-03-04",452
"147","men","2016-03-04",61
"148","professional_gap","2016-03-04",18
"149","reproductive_rights","2016-03-04",98
"150","violence_against_women","2016-03-04",63
"151","feminism","2016-03-05",75
"152","intersectionality","2016-03-05",312
"153","men","2016-03-05",20
"154","professional_gap","2016-03-05",11
"155","reproductive_rights","2016-03-05",74
"156","violence_against_women","2016-03-05",46
"157","feminism","2016-03-06",45
"158","intersectionality","2016-03-06",406
"159","men","2016-03-06",30
"160","professional_gap","2016-03-06",28
"161","reproductive_rights","2016-03-06",64
"162","violence_against_women","2016-03-06",95
"163","feminism","2016-03-07",80
"164","intersectionality","2016-03-07",222
"165","men","2016-03-07",19
"166","professional_gap","2016-03-07",7
"167","reproductive_rights","2016-03-07",55
"168","violence_against_women","2016-03-07",60
"169","feminism","2016-03-08",69
"170","intersectionality","2016-03-08",166
"171","men","2016-03-08",20
"172","professional_gap","2016-03-08",15
"173","reproductive_rights","2016-03-08",137
"174","violence_against_women","2016-03-08",60
"175","feminism","2016-03-09",46
"176","intersectionality","2016-03-09",139
"177","men","2016-03-09",21
"178","professional_gap","2016-03-09",25
"179","reproductive_rights","2016-03-09",69
"180","violence_against_women","2016-03-09",57
"181","feminism","2016-03-10",48
"182","intersectionality","2016-03-10",222
"183","men","2016-03-10",108
"184","professional_gap","2016-03-10",100
"185","reproductive_rights","2016-03-10",36
"186","violence_against_women","2016-03-10",72
"187","feminism","2016-03-11",245
"188","intersectionality","2016-03-11",277
"189","men","2016-03-11",25
"190","professional_gap","2016-03-11",50
"191","reproductive_rights","2016-03-11",243
"192","violence_against_women","2016-03-11",106
"193","feminism","2016-03-12",103
"194","intersectionality","2016-03-12",986
"195","men","2016-03-12",59
"196","professional_gap","2016-03-12",46
"197","reproductive_rights","2016-03-12",47
"198","violence_against_women","2016-03-12",161
"199","feminism","2016-03-13",85
"200","intersectionality","2016-03-13",686
"201","men","2016-03-13",27
"202","professional_gap","2016-03-13",14
"203","reproductive_rights","2016-03-13",47
"204","violence_against_women","2016-03-13",205
"205","feminism","2016-03-14",101
"206","intersectionality","2016-03-14",851
"207","men","2016-03-14",39
"208","professional_gap","2016-03-14",21
"209","reproductive_rights","2016-03-14",35
"210","violence_against_women","2016-03-14",127
"211","feminism","2016-03-15",178
"212","intersectionality","2016-03-15",325
"213","men","2016-03-15",139
"214","professional_gap","2016-03-15",21
"215","reproductive_rights","2016-03-15",60
"216","violence_against_women","2016-03-15",113
"217","feminism","2016-03-16",139
"218","intersectionality","2016-03-16",242
"219","men","2016-03-16",62
"220","professional_gap","2016-03-16",14
"221","reproductive_rights","2016-03-16",51
"222","violence_against_women","2016-03-16",71
"223","feminism","2016-03-17",130
"224","intersectionality","2016-03-17",268
"225","men","2016-03-17",91
"226","professional_gap","2016-03-17",18
"227","reproductive_rights","2016-03-17",29
"228","violence_against_women","2016-03-17",96
"229","feminism","2016-03-18",77
"230","intersectionality","2016-03-18",123
"231","men","2016-03-18",50
"232","professional_gap","2016-03-18",14
"233","reproductive_rights","2016-03-18",39
"234","violence_against_women","2016-03-18",62
"235","feminism","2016-03-19",449
"236","intersectionality","2016-03-19",237
"237","men","2016-03-19",86
"238","professional_gap","2016-03-19",9
"239","reproductive_rights","2016-03-19",34
"240","violence_against_women","2016-03-19",79
"241","feminism","2016-03-20",247
"242","intersectionality","2016-03-20",160
"243","men","2016-03-20",121
"244","professional_gap","2016-03-20",10
"245","reproductive_rights","2016-03-20",84
"246","violence_against_women","2016-03-20",73
"247","feminism","2016-03-21",302
"248","intersectionality","2016-03-21",1110
"249","men","2016-03-21",44
"250","professional_gap","2016-03-21",11
"251","reproductive_rights","2016-03-21",35
"252","violence_against_women","2016-03-21",93
"253","feminism","2016-03-22",340
"254","intersectionality","2016-03-22",620
"255","men","2016-03-22",55
"256","professional_gap","2016-03-22",16
"257","reproductive_rights","2016-03-22",30
"258","violence_against_women","2016-03-22",85
"259","feminism","2016-03-23",150
"260","intersectionality","2016-03-23",275
"261","men","2016-03-23",86
"262","professional_gap","2016-03-23",12
"263","reproductive_rights","2016-03-23",56
"264","violence_against_women","2016-03-23",65
"265","feminism","2016-03-24",209
"266","intersectionality","2016-03-24",238
