"","Tweet","Time Stamp","Twitter Handle","Latitude","Longitude","Topic"
"1","#SuperBowl hablando de América diversa una banda inglesa con un director venezolano. Take  that @realDonaldTrump","Mon Feb 08 01:33:48 +0000 2016","Halim1977",27.698682,"-83.804475","intersectionality"
"2","@realDonaldTrump as POTUS: To promote diversity  @NFL will merge with @MyLFL. To all men: 'You're FIRED' #SB50 #MakeAmericaGreatAgain","Mon Feb 08 02:18:01 +0000 2016","shuckufrmbehind",40.655138,"-73.9487755","intersectionality"
"3","One excellent reason to elect Trump. @WhoopiGoldberg &amp; the fat white lesbian will vacate the country. https://t.co/8Ug8I4HKCZ","Mon Feb 08 04:26:00 +0000 2016","TheSchwartz65",47.153674,"-122.101632","intersectionality"
"4","#DonaldTrump=SELF-Financing-Not Behold 2 Establishmnt/Power/#DC! #Jobs/#Security/TakesCare of LittleGuy!#woman #womenshealth #health #Jewish","Mon Feb 08 13:45:44 +0000 2016","sunnyherring1",40.0048655,"-75.117998","reproductive_rights"
"5","@debragg13 @foxandfriends @realDonaldTrump Won't lighten up   Trump is vulgar  thin skinned  a bully and sexist.  And millions cover 4 him","Tue Feb 09 18:08:48 +0000 2016","agerwing",33.1946515,"-96.699604","feminism"
"6","My dad just said the only piece of news he wants to hear about Donald Trump is when one of the skyscrapers he built falls on his head. LOL","Tue Feb 09 18:29:10 +0000 2016","LeoVersel",39.043469,"-77.1202525","violence_against_women"
"7","@RedPillRabbit @keksec__org @realDonaldTrump Pretty typical ignorant racism.","Tue Feb 09 19:08:17 +0000 2016","SoccerLacrossMa",40.7055975,"-73.977717","intersectionality"
"8","#BillClinton SexualAssaultVictim Support #DonaldTrump!https://t.co/8PwkRvwti5 #millennials #independent #business https://t.co/HbcTRWD7Ky","Tue Feb 09 21:32:12 +0000 2016","sunnyherring1",40.0048655,"-75.117998","violence_against_women"
"9","Anita Sarkeesian: the Donald Trump of feminists  wants to control your tweets. #RIPTwitter","Wed Feb 10 01:20:53 +0000 2016","anthroguy101",46.345307,"-94.2675415","feminism"
"10","Disgusting Obama has congress judicial under his thumb @SpeakerRyan @SenateMajLdr @realDonaldTrump USA Suffer rapest https://t.co/fkGFCNPMkg","Wed Feb 10 02:56:24 +0000 2016","RogerRice10",27.635365,"-80.4917725","violence_against_women"
"11","@WomensHealthMag @realDonaldTrump  we will be there","Wed Feb 10 03:00:06 +0000 2016","labadorman1",41.02436,"-81.7255035","reproductive_rights"
"12","A Racist  Sexist Demagogue Just Won The New Hampshire Primary #NewHampshire #NewHampshirePrimary #DonaldTrump","Wed Feb 10 07:14:19 +0000 2016","YoussefOujdad",30.422609,"-9.5820285","feminism"
"13","Sanders and Trump win big. Americans like the outsider this election. Hillary's time is not now. Seems to be her fate. It's not misogyny.","Wed Feb 10 14:10:50 +0000 2016","EMCscotlandhome",56.188746,"-4.0567935","men"
"14","For the life of me I cannot understand the pass given by MSNBC to Trump for the racism  personal attacks the lies https://t.co/I8EfdXhwx4","Wed Feb 10 15:58:50 +0000 2016","ladyeng48",18.1154075,"-77.275953","intersectionality"
"15","@davidpakmanshow I find it surprising that @SarahPalinUSA would support @realDonaldTrump over @CarlyFiorina on #prolife issues.","Wed Feb 10 17:50:42 +0000 2016","Pete_The_Rock",44.1572775,"-88.4824625","reproductive_rights"
"16","@Mediaite @ecwpunk81 'Trump Retweeted White Supremacist Account (Again)' #DonaldTrump doesn't use #dogwhistles. He's proud of his #racism!","Thu Feb 11 02:42:08 +0000 2016","jboogiebrown2",42.9564115,"-85.6411415","intersectionality"
"17","#NYC Whoremonger #RudyGiuliani is upset w/ silly @Beyonce but supports #racist #DonaldTrump for being #PoliticallyIncorrect. #doublestandard","Thu Feb 11 08:37:40 +0000 2016","LightfootInHwd",34.0824965,"-118.399639","feminism"
"18","@realDonaldTrump are you seeing this! It's a disgrace #expelclifford #ViolenceAgainstWomen  Shane on @StJohnsU  https://t.co/OkRjA7ZOFy","Thu Feb 11 16:59:22 +0000 2016","mecationgirl",41.557321,"-71.497913","violence_against_women"
"19",".@TedCruz #CruzCrew LYING about #Trump In re abortion in his Emailer. Here is the TRUTH: https://t.co/kyPJtuBHmn https://t.co/ZXHRgJTtiu","Thu Feb 11 21:27:56 +0000 2016","YugeTrumpnado",41.8335845,"-87.732013","reproductive_rights"
"20","@realDonaldTrump 😱Hillary raped Libya for Oil 😱because she does not realize we can power every home with 💯panel Solar homes☀️Every town☀️","Fri Feb 12 04:16:07 +0000 2016","paul_kangas",37.7706565,"-122.4359785","violence_against_women"
"21","@SenTedCruz Let me be clear.. #DonaldTrump supports #TraditionalMarriage and he is #ProLife. He did not #bulldoze an old ladies home down.","Fri Feb 12 06:09:31 +0000 2016","KazmierskiR",32.6782075,"-83.1738665","reproductive_rights"
"22","@realDonaldTrump @NaphiSoc I am always amazed at how dishonest mean spirited and misogynist they are.They're not a good ad for Christianity.","Fri Feb 12 12:44:40 +0000 2016","docdebags",43.642878,"-72.2499855","men"
"23","@Trump_Democrats Simple. @HumaAbedin pushed the Lesbian woman away from Hillary Clinton b/c Huma is a Muslim who hates LGBT","Fri Feb 12 14:41:17 +0000 2016","DonderolibtR",31.1688935,"-100.0768885","intersectionality"
"24","@realDonaldTrump @NYDailyNews  #HillaryClinton defends 42 yr old who raped 12 yr old How is this NOT News? NOW! LawYER! #SC utube vid attchd","Fri Feb 12 17:45:59 +0000 2016","BobbyfromBklyn",40.655138,"-73.9487755","violence_against_women"
"25","@wmsolomon islam destroys EVERYTHING but islam! PERIOD! it has SINCE moHAMmed screwed his 1st goat/raped his 1st child! @realDonaldTrump","Fri Feb 12 17:58:57 +0000 2016","realetybytes",26.150368,"-80.1491725","violence_against_women"
"26","Ques is how many @realDonaldTrump fans were cheering him 4being pro abortion  gun control  &amp; singlepayer healthcare? https://t.co/qXBA9vddKf","Sat Feb 13 01:48:31 +0000 2016","gkenn99",42.746617,"-75.770041","reproductive_rights"
"27","@cspanwj ask @realDonaldTrump if he uses ALL UNION cobstruction workers building his skyscrapers? #cspanchat","Sat Feb 13 12:08:51 +0000 2016","Blad102",41.6796555,"-86.290863","violence_against_women"
"28","@alexburnsNYT @stephenfhayes @realDonaldTrump Trump doesn't realize his sister is for partial bith abortion and against 2nd Amend costs nom.","Sun Feb 14 02:43:18 +0000 2016","NYMIGUY",42.372629,"-83.4898095","reproductive_rights"
"29","I heard with my own ears @realDonaldTrump say he supports PPH except the abortion and harvesting baby body prts https://t.co/GBRCfLx6SB","Sun Feb 14 05:04:05 +0000 2016","wildpaz1_",27.698682,"-83.804475","reproductive_rights"
"30","@realDonaldTrump @glennbeck 'i love the bible  especially the parts about greed and rape. I'm awesome!' Trump for 2016","Sun Feb 14 06:26:51 +0000 2016","SteelersSlob",41.1179365,"-77.604684","violence_against_women"
"31","@Johnatsrs1949 @PlaysTrumpCard @realDonaldTrump @tedcruz lies again very deceitful Trump clearly said supports PPH except for abortion","Sun Feb 14 10:16:24 +0000 2016","wildpaz1_",27.698682,"-83.804475","reproductive_rights"
"32","@realDonaldTrump feminism is part of the NWO","Sun Feb 14 14:07:50 +0000 2016","richadmllwallfc",55.012153,"-3.4468685","feminism"
"33","@cnalive @NCRegister Pray to our Lady Of Guadalupe every day end Planned Parenthood Abortion Mills. Not healthy 4 women. @realDonaldTrump","Sun Feb 14 18:16:56 +0000 2016","Artist4Palin",43.2514515,"-77.6885355","reproductive_rights"
"34","@jstines3 #DonaldTrump Attacked Abortion By #PlannedParenthood &amp; Frankly Even #JebBush Said in Hindsight #Iraq Was Mistake. WhoCares EminDom","Sun Feb 14 19:25:10 +0000 2016","sunnyherring1",40.0048655,"-75.117998","reproductive_rights"
"35","@tedcruz #PlannedParenthood since Trump favors PPH he then favors black genicide like democrats do.","Sun Feb 14 21:00:52 +0000 2016","PreachinJames",45.4627425,"-123.8365685","reproductive_rights"
"36","@realDonaldTrump advocates for #PlannedParenthood   but really  he is a  Conservative. No  really. #Election2016  https://t.co/yYXKeXu3np","Sun Feb 14 21:16:10 +0000 2016","JoshuaWDelano",30.038826,"-93.856257","reproductive_rights"
"37","Is @realDonaldTrump different from other World  Man Leaders? = Sexist. Murderous War. Habitats greed gone. Animals gone. BOMBED CHILDREN. ?","Sun Feb 14 21:34:41 +0000 2016","kristineb4",53.3549025,"-6.2476215","feminism"
"38","You're never a little bit pregnant &amp; @realDonaldTrump can't sort of support #PlannedParenthood. See @tedcruz ad: https://t.co/VZcLStJS1h","Sun Feb 14 23:11:39 +0000 2016","alicetweet",35.9824705,"-83.9638415","reproductive_rights"
"39","@Robeno @THETXEMBASSY @PPact I thought TheDonald @realDonaldTrump was very clear he supports Help for Women's Health &amp; NOT ABORTIONS!","Mon Feb 15 00:15:02 +0000 2016","mauriciod44",32.342708,"-111.032309","reproductive_rights"
"40","Islamic State stones four rape victims to death for “committing adultery” https://t.co/z2cwQmVreg @realDonaldTrump @RealBenCarson","Mon Feb 15 04:00:45 +0000 2016","herself311",42.308346,"0.3142995","violence_against_women"
"41","@cw6ft2ntx not good enough? Wait till I post the court documents where his wife claimed Trump 'brutally raped' her https://t.co/jnJglwgb2H","Mon Feb 15 07:00:45 +0000 2016","KeepAmerGreat",32.7700735,"-80.007367","violence_against_women"
"42","Donald Trump and the Central Park Five: the racially charged rise of a demagogue https://t.co/9fxsVJq7Le","Thu Feb 18 09:15:19 +0000 2016","alison4labour",53.801956,"-1.56549","intersectionality"
"43","WTF should I do now 😂😂😂 support what he said for Donald Trump or criticize his comments on abortion related to Zika virus 😂😂😂😂","Thu Feb 18 17:52:33 +0000 2016","IlaxBJoseph",40.7055975,"-73.977717","reproductive_rights"
"44","@realDonaldTrump@DailyMailUK: Teen migrant who GANG RAPED Austrian girl with five friends is now living in Britain https://t.co/ibI1Cp0XAc'","Thu Feb 18 18:30:48 +0000 2016","RKMCPHERSON2014",40.702939,"-73.620907","violence_against_women"
"45","@realDonaldTrump - I only wish I could speak to you about planned parenthood/abortion/right to life. I am sure I could help with a statement","Thu Feb 18 18:52:21 +0000 2016","FrankEFreeman1",29.417501,"-98.5406515","reproductive_rights"
"46","@megynkelly ... Look who flopped again. U know  like he did on abortion  his support of Hillary  etc #dumpthetrump https://t.co/hAC0xRD4tL","Fri Feb 19 00:26:22 +0000 2016","thguyonabuffalo",32.863917,"-96.961483","reproductive_rights"
"47","@realDonaldTrump is bad for #lgbt #equality #diversity this is wrong for #USA. A Nation United in rights=#USA  https://t.co/Ke1yzQ6VTH","Fri Feb 19 02:24:55 +0000 2016","brownaaron1987",45.00118,"-86.2705395","intersectionality"
"48","A vote @realDonaldTrump is a vote for racism and hatred. God help us. #DumpTrump","Fri Feb 19 13:14:26 +0000 2016","lessguns",40.186814,"-75.2283825","intersectionality"
"49","@AC360 @tedcruz @andersoncooper Trump said he hated abortion but was very pro choice. &amp; he was okay with Partial Birth abortion being legal","Fri Feb 19 14:48:31 +0000 2016","Linkus717",42.1795335,"-72.4576525","reproductive_rights"
"50","Lost all respect 4 @StephenBaldwin7 @dennisrodman and @AngelTilaLove for supporting @realDonaldTrump shocked they support racism #norespect","Fri Feb 19 19:37:19 +0000 2016","MateoHairArtist",29.417501,"-98.5406515","intersectionality"
"51","#SouthCarolinaPrimary #SouthCarolina #Nevada - #RacismMustFall #DumpTrump https://t.co/zh4FZ8xxIa","Sat Feb 20 01:09:49 +0000 2016","lessguns",40.186814,"-75.2283825","intersectionality"
"52","@KStreetHipster @realDonaldTrump The truth! You cannot handle the truth! Not everything is black and white hate or racism  unchain your mind","Sat Feb 20 19:18:03 +0000 2016","Gunner70W",39.137038,"-84.5398125","intersectionality"
"53","'Donald trump has his own m&amp;ms' 'Do they taste like racism?'","Sun Feb 21 00:38:01 +0000 2016","swizzlestix99",27.532077,"-99.454676","intersectionality"
"54","@realDonaldTrump pandering of racism &amp; bigotry has exposed true @GOP voter base @JohnKingCNN @jmartNYT @MaeveReston @seanspicer @Reince","Sun Feb 21 01:52:24 +0000 2016","robert158",38.898603,"-77.0143985","intersectionality"
"55","Disgusted Americans  my people  would elect a racist sexist like @realDonaldTrump who would make my daughter register as Muslim #Republican","Sun Feb 21 02:24:20 +0000 2016","stareenite",39.685852,"-105.1233195","feminism"
"56","@JebBush supporters your candidate is no more; TRUMP battered him mercilessly usually without merit like a bully. Why would you vote Trump?","Sun Feb 21 02:58:15 +0000 2016","MarlaDPotter",37.822244,"-85.7682405","violence_against_women"
"57","When tumblr feminists see Donald Trump https://t.co/SYwLRCUJFo","Sun Feb 21 04:13:27 +0000 2016","ChaboiJoee",42.636248,"-71.326858","feminism"
"58","@BradThor @tfol35 Conservative = prolife!  Trump = liberal = PP = Hillary wins.","Sun Feb 21 06:55:41 +0000 2016","funy_farm",37.2691755,"-119.3066075","reproductive_rights"
"59","@realDonaldTrump Diversify your volunters/supporters helping you. Blacks for blacks;Spani for Spanish; Muslims for Muslims etc. to  WIN !","Sun Feb 21 16:38:22 +0000 2016","clarplas",40.6708795,"-73.8311875","intersectionality"
"60","@CNN @CNNSotu @tedcruz Both TRUMP's NYC  CRUZ Houston top T+L 'America's Cities' they refuse to support cleaning up!","Sun Feb 21 18:49:28 +0000 2016","litterscorecard",42.308346,"0.3142995","professional_gap"
"61","If you want status quo like high unemployment and racial division then by all means vote Hilary or Bernie. #🇨🇦4Trump https://t.co/eDKBiaP6bB","Sun Feb 21 22:41:35 +0000 2016","beaudge78",46.5841815,"-81.0774075","intersectionality"
"62","@Captain_Smirk1 @realDonaldTrump Put it in the Ovary Office. Bill got his best lap dances there!","Mon Feb 22 01:50:05 +0000 2016","Quaziphoto",37.6233055,"-77.357365","reproductive_rights"
"63","what is his appeal? Racism and demagoguery available over at Trump  full strength. He's like 3.2 beer. Yuck and why? https://t.co/4ptTQI7kDM","Mon Feb 22 02:20:07 +0000 2016","bluedillygal",27.698682,"-83.804475","intersectionality"
"64","@realDonaldTrump Christians do NOT like PP they should be closed. HD offers all the other programs &amp; do not commit abortion &amp; rip babies...","Mon Feb 22 11:10:09 +0000 2016","Deborahparks20",35.0919545,"-85.242564","reproductive_rights"
"65","@realDonaldTrump but they like sexist  racists","Mon Feb 22 13:37:43 +0000 2016","KLDarwin",39.849473,"-83.0677285","feminism"
"66","One fun thing about @realDonaldTrump's rise &amp; @tedcruz's nastiness  eventually 100% Ted will use Don's ex-wife's rape accusations.","Mon Feb 22 16:37:36 +0000 2016","paleomexicano",33.8091715,"-118.1567105","violence_against_women"
"67","Check out the video of the five black kids that were accused of rape! @realDonaldTrump promoted death for them! Evil https://t.co/ng4XNMKeAV","Mon Feb 22 16:53:41 +0000 2016","Debi129",47.273022,"-120.882482","violence_against_women"
"68","@realDonaldTrump I'm voting Trump because he made the Clintons shut up so fast when they tried to call him sexist TRUMP WILL DESTROY Hillary","Mon Feb 22 18:05:48 +0000 2016","duckworks2505",42.6405475,"-84.5330205","feminism"
"69","Obama  Bernie and Hillary want Americans robbed  raped and killed by illegal aliens  Dems are trading American lives for votes    #Trump2016","Mon Feb 22 22:58:15 +0000 2016","Rockprincess818",34.0207895,"-118.4119065","violence_against_women"
"70","@Aaron_RS @realDonaldTrump I am a rape survivor I was brutally  raped and suffocated left for dead. I think I know when someone is genuine","Tue Feb 23 00:09:03 +0000 2016","eamhardin",31.1688935,"-100.0768885","violence_against_women"
"71","@realDonaldTrump What is your stand on abortion? I need to know if you think it's okay to sanction murder in the womb. Plz reply.","Tue Feb 23 00:55:18 +0000 2016","JillCdashC",26.150368,"-80.1491725","reproductive_rights"
"72","Cruz on @oreillyfactor said @realDonaldTrump supported partial birth abortion for 60 yrs BS that would mean Trump was 9 yrs old #Trump2016","Tue Feb 23 01:30:41 +0000 2016","MikeandDawnNY",40.655138,"-73.9487755","reproductive_rights"
"73","@realDonaldTrump If Cruz hits you on pro choice tell him Reagan signed  pro abortion bill when he was 56. Over next “several” yrs he changed","Tue Feb 23 01:51:28 +0000 2016","greetandtweet",47.859805,"-122.291023","reproductive_rights"
"74","The anti-intellectual  evolution denier @seanhannity and the sexist  xenophobe @realDonaldTrump ... Pandering to the fools... #cunts","Tue Feb 23 03:48:08 +0000 2016","DavidDavid__NYC",40.780709,"-73.9685415","feminism"
"75","@ByronYork Vote 4 Trump = vote for Hillary or Bernie. Sorry he will NOT defund PP  he DOES believe in 3rd term abortion. I'm done w/Fox News","Tue Feb 23 14:03:45 +0000 2016","JVH241",26.622149,"-81.8231765","reproductive_rights"
"76","@jm3679 that would mean at the age of 9 @realDonaldTrump supported partial birth abortion?  Seriously what BS CRUZ spews #Trump2016","Tue Feb 23 15:33:24 +0000 2016","MikeandDawnNY",40.655138,"-73.9487755","reproductive_rights"
"77","@CarrollDems @realDonaldTrump @SenTedCruz of diversity?","Tue Feb 23 17:03:40 +0000 2016","Cruzinto2016",44.00123,"-71.566171","intersectionality"
"78","@realDonaldTrump 'Trump only talks tough on immigration now because he did so badly in Iowa. He is in favor of racism and weak.'","Tue Feb 23 17:11:34 +0000 2016","1borabora",53.765817,"-0.3339425","intersectionality"
"79","Donald Trump on Abortion: Will the Real Donald Trump  please stand up? https://t.co/yfoH0oH4mu https://t.co/cRUuSbHV9x","Tue Feb 23 17:14:22 +0000 2016","BobNotfondajane",38.8051145,"-77.2369685","reproductive_rights"
"80","'Reverse racism' and the allure of Donald Trump https://t.co/FSnG479bTT","Wed Feb 24 02:25:21 +0000 2016","SSmolowitz",32.1893905,"-110.9155735","intersectionality"
"81","@megynkelly @EWErickson @PPFA  Donald Trump for President https://t.co/KNSlyjmOWU","Wed Feb 24 03:30:43 +0000 2016","jerrysremodeli1",38.498196,"-98.319925","reproductive_rights"
