"","date","reproductive_rights","violence_against_women","professional_gap","feminism","men","intersectionality"
"1",2.7,3,8,0,7,0,4
"2",2.8,27,46,2,63,8,35
"3",2.9,32,36,5,130,12,194
"4",2.1,48,60,9,192,72,144
"5",2.11,89,51,8,92,13,52
"6",2.12,75,37,6,42,7,90
"7",2.13,107,21,4,27,9,92
"8",2.14,326,20,2,74,13,143
"9",2.15,116,16,5,24,6,67
"10",2.18,167,46,3,28,29,160
"11",2.19,111,39,4,22,23,72
"12",2.2,69,32,5,47,22,68
"13",2.21,102,149,12,61,31,476
"14",2.22,100,89,2,39,23,503
"15",2.23,161,64,8,41,13,168
"16",2.24,71,67,18,67,49,254
"17",2.25,102,81,17,104,36,210
"18",2.26,298,84,25,88,32,156
"19",2.27,128,53,15,75,56,125
"20",2.28,101,50,41,70,62,744
"21",2.29,239,93,27,65,41,903
"22",3.1,154,79,29,82,90,839
"23",3.2,111,124,48,133,51,1078
"24",3.3,92,115,17,167,114,1224
"25",3.4,98,63,18,52,61,452
"26",3.5,74,46,11,75,20,312
"27",3.6,64,95,28,45,30,406
"28",3.7,55,60,7,80,19,222
"29",3.8,137,60,15,69,20,166
"30",3.9,69,57,25,46,21,139
"31",3.1,36,72,100,48,108,222
"32",3.11,243,106,50,245,25,277
"33",3.12,47,161,46,103,59,986
"34",3.13,47,205,14,85,27,686
"35",3.14,35,127,21,101,39,851
"36",3.15,60,113,21,178,139,325
"37",3.16,51,71,14,139,62,242
"38",3.17,29,96,18,130,91,268
"39",3.18,39,62,14,77,50,123
"40",3.19,34,79,9,449,86,237
"41",3.2,84,73,10,247,121,160
"42",3.21,35,93,11,302,44,1110
"43",3.22,30,85,16,340,55,620
"44",3.23,56,65,12,150,86,275
"45",3.24,63,92,10,209,250,238
"46",3.25,28,79,12,171,302,130
"47",3.26,36,135,14,596,263,92
"48",3.27,29,57,22,176,100,101
"49",3.28,29,62,16,184,43,83
"50",3.29,88,124,17,240,224,198
"51",3.3,4488,195,25,200,170,150
"52",3.31,6609,146,18,163,138,105
"53",4.1,2119,91,19,164,61,125
"54",4.2,1671,62,21,101,50,42
"55",4.3,827,53,41,110,123,45
"56",4.4,704,67,9,39,15,32
"57",4.5,330,67,30,52,45,47
"58",4.6,147,86,3,78,17,49
"59",4.7,155,29,7,43,20,34
"60",4.8,133,58,16,103,16,61
"61",4.9,82,34,15,37,16,98
"62",4.1,61,48,7,18,19,71
"63",4.11,70,42,5,33,16,76
"64",4.12,49,58,23,45,18,80
"65",4.13,34,35,15,51,31,109
"66",4.14,39,106,6,156,51,61
"67",4.15,256,49,8,34,9,86
"68",4.16,133,47,8,37,22,88
"69",4.17,42,58,6,38,31,77
"70",4.18,53,43,4,29,14,189
"71",4.19,42,48,18,27,20,96
"72",4.2,70,48,14,42,37,77
"73",4.21,258,101,5,30,12,998
"74",4.22,223,141,24,23,21,595
"75",4.23,111,58,10,23,20,195
"76",4.24,46,43,4,25,28,109
"77",4.25,79,50,7,21,21,234
"78",4.26,65,72,17,77,33,79
"79",4.27,144,92,26,1510,141,76
"80",4.28,97,155,15,772,79,78
"81",4.29,92,527,30,687,96,179
"82",4.3,90,375,18,279,49,93
