"","group","date","count"
"1","feminism","2016-02-07",150
"2","intersectionality","2016-02-07",35
"3","men","2016-02-07",9
"4","professional_gap","2016-02-07",2
"5","reproductive_rights","2016-02-07",46
"6","violence_against_women","2016-02-07",15
"7","feminism","2016-02-08",1371
"8","intersectionality","2016-02-08",82
"9","men","2016-02-08",1139
"10","professional_gap","2016-02-08",14
"11","reproductive_rights","2016-02-08",113
"12","violence_against_women","2016-02-08",121
"13","feminism","2016-02-09",894
"14","intersectionality","2016-02-09",68
"15","men","2016-02-09",87
"16","professional_gap","2016-02-09",11
"17","reproductive_rights","2016-02-09",145
"18","violence_against_women","2016-02-09",138
"19","feminism","2016-02-10",812
"20","intersectionality","2016-02-10",99
"21","men","2016-02-10",37
"22","professional_gap","2016-02-10",9
"23","reproductive_rights","2016-02-10",129
"24","violence_against_women","2016-02-10",90
"25","feminism","2016-02-11",365
"26","intersectionality","2016-02-11",183
"27","men","2016-02-11",32
"28","professional_gap","2016-02-11",19
"29","reproductive_rights","2016-02-11",86
"30","violence_against_women","2016-02-11",69
"31","feminism","2016-02-12",422
"32","intersectionality","2016-02-12",235
"33","men","2016-02-12",56
"34","professional_gap","2016-02-12",32
"35","reproductive_rights","2016-02-12",181
"36","violence_against_women","2016-02-12",108
"37","feminism","2016-02-13",418
"38","intersectionality","2016-02-13",70
"39","men","2016-02-13",23
"40","professional_gap","2016-02-13",9
"41","reproductive_rights","2016-02-13",86
"42","violence_against_women","2016-02-13",75
"43","feminism","2016-02-14",312
"44","intersectionality","2016-02-14",66
"45","men","2016-02-14",16
"46","professional_gap","2016-02-14",5
"47","reproductive_rights","2016-02-14",71
"48","violence_against_women","2016-02-14",55
"49","feminism","2016-02-15",160
"50","intersectionality","2016-02-15",83
"51","men","2016-02-15",9
"52","professional_gap","2016-02-15",15
"53","reproductive_rights","2016-02-15",192
"54","violence_against_women","2016-02-15",34
"55","feminism","2016-02-18",202
"56","intersectionality","2016-02-18",282
"57","men","2016-02-18",11
"58","professional_gap","2016-02-18",18
"59","reproductive_rights","2016-02-18",150
"60","violence_against_women","2016-02-18",28
"61","feminism","2016-02-19",258
"62","intersectionality","2016-02-19",157
"63","men","2016-02-19",25
"64","professional_gap","2016-02-19",26
"65","reproductive_rights","2016-02-19",165
"66","violence_against_women","2016-02-19",90
"67","feminism","2016-02-20",237
"68","intersectionality","2016-02-20",146
"69","men","2016-02-20",32
"70","professional_gap","2016-02-20",29
"71","reproductive_rights","2016-02-20",128
"72","violence_against_women","2016-02-20",40
"73","feminism","2016-02-21",357
"74","intersectionality","2016-02-21",164
"75","men","2016-02-21",25
"76","professional_gap","2016-02-21",22
"77","reproductive_rights","2016-02-21",62
"78","violence_against_women","2016-02-21",59
"79","feminism","2016-02-22",210
"80","intersectionality","2016-02-22",179
"81","men","2016-02-22",15
"82","professional_gap","2016-02-22",13
"83","reproductive_rights","2016-02-22",99
"84","violence_against_women","2016-02-22",58
"85","feminism","2016-02-23",158
"86","intersectionality","2016-02-23",218
"87","men","2016-02-23",17
"88","professional_gap","2016-02-23",11
"89","reproductive_rights","2016-02-23",80
"90","violence_against_women","2016-02-23",68
"91","feminism","2016-02-24",249
"92","intersectionality","2016-02-24",506
"93","men","2016-02-24",18
"94","professional_gap","2016-02-24",27
"95","reproductive_rights","2016-02-24",77
"96","violence_against_women","2016-02-24",78
"97","feminism","2016-02-25",269
"98","intersectionality","2016-02-25",277
"99","men","2016-02-25",15
"100","professional_gap","2016-02-25",19
"101","reproductive_rights","2016-02-25",76
"102","violence_against_women","2016-02-25",80
"103","feminism","2016-02-26",262
"104","intersectionality","2016-02-26",159
"105","men","2016-02-26",20
"106","professional_gap","2016-02-26",34
"107","reproductive_rights","2016-02-26",72
"108","violence_against_women","2016-02-26",51
"109","feminism","2016-02-27",212
"110","intersectionality","2016-02-27",113
"111","men","2016-02-27",35
"112","professional_gap","2016-02-27",22
"113","reproductive_rights","2016-02-27",91
"114","violence_against_women","2016-02-27",55
"115","feminism","2016-02-28",188
"116","intersectionality","2016-02-28",214
"117","men","2016-02-28",54
"118","professional_gap","2016-02-28",27
"119","reproductive_rights","2016-02-28",71
"120","violence_against_women","2016-02-28",97
"121","feminism","2016-02-29",132
"122","intersectionality","2016-02-29",100
"123","men","2016-02-29",18
"124","professional_gap","2016-02-29",5
"125","reproductive_rights","2016-02-29",47
"126","violence_against_women","2016-02-29",117
"127","feminism","2016-03-01",200
"128","intersectionality","2016-03-01",176
"129","men","2016-03-01",58
"130","professional_gap","2016-03-01",47
"131","reproductive_rights","2016-03-01",54
"132","violence_against_women","2016-03-01",80
"133","feminism","2016-03-02",214
"134","intersectionality","2016-03-02",276
"135","men","2016-03-02",96
"136","professional_gap","2016-03-02",32
"137","reproductive_rights","2016-03-02",79
"138","violence_against_women","2016-03-02",231
"139","feminism","2016-03-03",370
"140","intersectionality","2016-03-03",216
"141","men","2016-03-03",33
"142","professional_gap","2016-03-03",13
"143","reproductive_rights","2016-03-03",56
"144","violence_against_women","2016-03-03",148
"145","feminism","2016-03-04",162
"146","intersectionality","2016-03-04",105
"147","men","2016-03-04",19
"148","professional_gap","2016-03-04",12
"149","reproductive_rights","2016-03-04",54
"150","violence_against_women","2016-03-04",72
"151","feminism","2016-03-05",177
"152","intersectionality","2016-03-05",92
"153","men","2016-03-05",13
"154","professional_gap","2016-03-05",10
"155","reproductive_rights","2016-03-05",50
"156","violence_against_women","2016-03-05",61
"157","feminism","2016-03-06",167
"158","intersectionality","2016-03-06",218
"159","men","2016-03-06",16
"160","professional_gap","2016-03-06",105
"161","reproductive_rights","2016-03-06",38
"162","violence_against_women","2016-03-06",76
"163","feminism","2016-03-07",1216
"164","intersectionality","2016-03-07",971
"165","men","2016-03-07",105
