"","group","date","count"
"1","feminism","2016-02-07",212
"2","intersectionality","2016-02-07",15
"3","men","2016-02-07",9
"4","professional_gap","2016-02-07",1
"5","reproductive_rights","2016-02-07",2
"6","violence_against_women","2016-02-07",20
"7","feminism","2016-02-08",1036
"8","intersectionality","2016-02-08",71
"9","men","2016-02-08",26
"10","professional_gap","2016-02-08",17
"11","reproductive_rights","2016-02-08",20
"12","violence_against_women","2016-02-08",54
"13","feminism","2016-02-09",694
"14","intersectionality","2016-02-09",100
"15","men","2016-02-09",19
"16","professional_gap","2016-02-09",9
"17","reproductive_rights","2016-02-09",40
"18","violence_against_women","2016-02-09",38
"19","feminism","2016-02-10",393
"20","intersectionality","2016-02-10",189
"21","men","2016-02-10",27
"22","professional_gap","2016-02-10",32
"23","reproductive_rights","2016-02-10",33
"24","violence_against_women","2016-02-10",51
"25","feminism","2016-02-11",254
"26","intersectionality","2016-02-11",236
"27","men","2016-02-11",9
"28","professional_gap","2016-02-11",19
"29","reproductive_rights","2016-02-11",42
"30","violence_against_women","2016-02-11",76
"31","feminism","2016-02-12",256
"32","intersectionality","2016-02-12",447
"33","men","2016-02-12",34
"34","professional_gap","2016-02-12",26
"35","reproductive_rights","2016-02-12",200
"36","violence_against_women","2016-02-12",76
"37","feminism","2016-02-13",132
"38","intersectionality","2016-02-13",194
"39","men","2016-02-13",18
"40","professional_gap","2016-02-13",13
"41","reproductive_rights","2016-02-13",52
"42","violence_against_women","2016-02-13",39
"43","feminism","2016-02-14",70
"44","intersectionality","2016-02-14",83
"45","men","2016-02-14",13
"46","professional_gap","2016-02-14",4
"47","reproductive_rights","2016-02-14",31
"48","violence_against_women","2016-02-14",45
"49","feminism","2016-02-15",59
"50","intersectionality","2016-02-15",56
"51","men","2016-02-15",22
"52","professional_gap","2016-02-15",52
"53","reproductive_rights","2016-02-15",15
"54","violence_against_women","2016-02-15",49
"55","feminism","2016-02-18",60
"56","intersectionality","2016-02-18",80
"57","men","2016-02-18",7
"58","professional_gap","2016-02-18",45
"59","reproductive_rights","2016-02-18",55
"60","violence_against_women","2016-02-18",16
"61","feminism","2016-02-19",344
"62","intersectionality","2016-02-19",506
"63","men","2016-02-19",30
"64","professional_gap","2016-02-19",31
"65","reproductive_rights","2016-02-19",81
"66","violence_against_women","2016-02-19",67
"67","feminism","2016-02-20",186
"68","intersectionality","2016-02-20",496
"69","men","2016-02-20",37
"70","professional_gap","2016-02-20",45
"71","reproductive_rights","2016-02-20",42
"72","violence_against_women","2016-02-20",60
"73","feminism","2016-02-21",181
"74","intersectionality","2016-02-21",297
"75","men","2016-02-21",29
"76","professional_gap","2016-02-21",36
"77","reproductive_rights","2016-02-21",22
"78","violence_against_women","2016-02-21",27
"79","feminism","2016-02-22",117
"80","intersectionality","2016-02-22",118
"81","men","2016-02-22",17
"82","professional_gap","2016-02-22",36
"83","reproductive_rights","2016-02-22",24
"84","violence_against_women","2016-02-22",53
"85","feminism","2016-02-23",79
"86","intersectionality","2016-02-23",134
"87","men","2016-02-23",15
"88","professional_gap","2016-02-23",9
"89","reproductive_rights","2016-02-23",21
"90","violence_against_women","2016-02-23",57
"91","feminism","2016-02-24",415
"92","intersectionality","2016-02-24",222
"93","men","2016-02-24",12
"94","professional_gap","2016-02-24",44
"95","reproductive_rights","2016-02-24",21
"96","violence_against_women","2016-02-24",49
"97","feminism","2016-02-25",180
"98","intersectionality","2016-02-25",181
"99","men","2016-02-25",14
"100","professional_gap","2016-02-25",11
"101","reproductive_rights","2016-02-25",25
"102","violence_against_women","2016-02-25",37
"103","feminism","2016-02-26",121
"104","intersectionality","2016-02-26",118
"105","men","2016-02-26",17
"106","professional_gap","2016-02-26",19
"107","reproductive_rights","2016-02-26",21
"108","violence_against_women","2016-02-26",44
"109","feminism","2016-02-27",107
"110","intersectionality","2016-02-27",124
"111","men","2016-02-27",4
"112","professional_gap","2016-02-27",15
"113","reproductive_rights","2016-02-27",39
"114","violence_against_women","2016-02-27",52
"115","feminism","2016-02-28",90
"116","intersectionality","2016-02-28",152
"117","men","2016-02-28",42
"118","professional_gap","2016-02-28",12
"119","reproductive_rights","2016-02-28",35
"120","violence_against_women","2016-02-28",69
"121","feminism","2016-02-29",62
"122","intersectionality","2016-02-29",103
"123","men","2016-02-29",16
"124","professional_gap","2016-02-29",4
"125","reproductive_rights","2016-02-29",11
"126","violence_against_women","2016-02-29",50
"127","feminism","2016-03-01",113
"128","intersectionality","2016-03-01",144
"129","men","2016-03-01",19
"130","professional_gap","2016-03-01",21
"131","reproductive_rights","2016-03-01",31
"132","violence_against_women","2016-03-01",30
"133","feminism","2016-03-02",173
"134","intersectionality","2016-03-02",148
"135","men","2016-03-02",19
"136","professional_gap","2016-03-02",19
"137","reproductive_rights","2016-03-02",46
"138","violence_against_women","2016-03-02",31
"139","feminism","2016-03-03",108
"140","intersectionality","2016-03-03",110
"141","men","2016-03-03",21
"142","professional_gap","2016-03-03",27
"143","reproductive_rights","2016-03-03",15
"144","violence_against_women","2016-03-03",28
"145","feminism","2016-03-04",63
"146","intersectionality","2016-03-04",105
"147","men","2016-03-04",14
"148","professional_gap","2016-03-04",154
"149","reproductive_rights","2016-03-04",15
"150","violence_against_women","2016-03-04",15
"151","feminism","2016-03-05",82
"152","intersectionality","2016-03-05",124
"153","men","2016-03-05",16
"154","professional_gap","2016-03-05",106
"155","reproductive_rights","2016-03-05",10
"156","violence_against_women","2016-03-05",30
"157","feminism","2016-03-06",89
"158","intersectionality","2016-03-06",186
"159","men","2016-03-06",10
"160","professional_gap","2016-03-06",189
"161","reproductive_rights","2016-03-06",9
"162","violence_against_women","2016-03-06",25
"163","feminism","2016-03-07",1155
"164","intersectionality","2016-03-07",924
"165","men","2016-03-07",112
"166","professional_gap","2016-03-07",50
"167","reproductive_rights","2016-03-07",96
"168","violence_against_women","2016-03-07",62
"169","feminism","2016-03-08",781
"170","intersectionality","2016-03-08",270
"171","men","2016-03-08",21
"172","professional_gap","2016-03-08",33
"173","reproductive_rights","2016-03-08",371
"174","violence_against_women","2016-03-08",32
"175","feminism","2016-03-09",569
"176","intersectionality","2016-03-09",183
"177","men","2016-03-09",12
"178","professional_gap","2016-03-09",27
"179","reproductive_rights","2016-03-09",127
"180","violence_against_women","2016-03-09",41
"181","feminism","2016-03-10",195
"182","intersectionality","2016-03-10",178
"183","men","2016-03-10",35
"184","professional_gap","2016-03-10",31
"185","reproductive_rights","2016-03-10",68
"186","violence_against_women","2016-03-10",41
"187","feminism","2016-03-11",106
"188","intersectionality","2016-03-11",95
"189","men","2016-03-11",61
"190","professional_gap","2016-03-11",13
"191","reproductive_rights","2016-03-11",33
"192","violence_against_women","2016-03-11",21
"193","feminism","2016-03-12",150
"194","intersectionality","2016-03-12",352
"195","men","2016-03-12",37
"196","professional_gap","2016-03-12",18
"197","reproductive_rights","2016-03-12",18
"198","violence_against_women","2016-03-12",58
"199","feminism","2016-03-13",124
"200","intersectionality","2016-03-13",256
"201","men","2016-03-13",40
"202","professional_gap","2016-03-13",8
"203","reproductive_rights","2016-03-13",37
"204","violence_against_women","2016-03-13",117
"205","feminism","2016-03-14",119
"206","intersectionality","2016-03-14",183
"207","men","2016-03-14",26
"208","professional_gap","2016-03-14",43
"209","reproductive_rights","2016-03-14",54
"210","violence_against_women","2016-03-14",103
"211","feminism","2016-03-15",113
"212","intersectionality","2016-03-15",278
"213","men","2016-03-15",16
"214","professional_gap","2016-03-15",21
"215","reproductive_rights","2016-03-15",26
"216","violence_against_women","2016-03-15",84
"217","feminism","2016-03-16",94
"218","intersectionality","2016-03-16",93
"219","men","2016-03-16",40
"220","professional_gap","2016-03-16",11
"221","reproductive_rights","2016-03-16",17
"222","violence_against_women","2016-03-16",31
"223","feminism","2016-03-17",61
"224","intersectionality","2016-03-17",110
"225","men","2016-03-17",19
"226","professional_gap","2016-03-17",12
"227","reproductive_rights","2016-03-17",16
"228","violence_against_women","2016-03-17",24
"229","feminism","2016-03-18",61
"230","intersectionality","2016-03-18",100
"231","men","2016-03-18",13
"232","professional_gap","2016-03-18",17
"233","reproductive_rights","2016-03-18",10
"234","violence_against_women","2016-03-18",31
"235","feminism","2016-03-19",57
"236","intersectionality","2016-03-19",173
"237","men","2016-03-19",11
"238","professional_gap","2016-03-19",9
"239","reproductive_rights","2016-03-19",15
"240","violence_against_women","2016-03-19",39
"241","feminism","2016-03-20",58
"242","intersectionality","2016-03-20",79
